filename,Group,Ecology
Actinemys_marmorata_MCZ_31973,freshwater,S
Amyda_cartilaginea_MCZHERP_R-1632,softshell,S
Apalone_mutica_MCZHERP_R-182897,softshell,S
Batagur_baska_MCZ_29577,freshwater,S
Batagur_borneoensis_MCZ_42198,freshwater,S
Caretta_caretta_MCZHERP_R-179704,sea turtle,M
Chelonia_mydas_MCZ_R-46619,sea turtle,M
Chelonoidis_denticulata_MCZ_R4442,tortoise,T
Chelonoidis_nigra_MCZ_R-11070,tortoise,T
Chitra_indica_MCZHERP_R-29486,softshell,S
Chrysemys_picta_MCZ191779,freshwater,S
Clemmys_guttata_MCZ53279,freshwater,S
Cuora_amboinensis_MCZ_7999,box turtle,S
Cuora_flavomarginata_MCZ_55838,box turtle,T
Cuora_trifasciata_MCZ_5218,box turtle,S
Cyclemys_dentata_MCZ_12554,freshwater,S
Deirochelys_reticularia_MCZ15887,freshwater,S
Emydoidea_blandingii_MCZ191852,freshwater,S
Emys_orbicularis_MCZ31976,freshwater,S
Eretmochelys_imbricata_MCZHERP_R-190361,sea turtle,M
Geoclemys_hamiltonii_MCZ_120333,freshwater,S
Geoemyda_japonica_MCZ_134722,freshwater,T
Glyptemys_insculpta_MCZ145865,freshwater,S
Graptemys_geographica_MCZ6397,freshwater,S
Heosemys_grandis_MCZ29523,freshwater,S
Heosemys_spinosa_MCZ_29556,freshwater,S
Heosemys_annandalii_MCZ_29550,freshwater,S
Lepidochelys_kempii_MCZHERP_R-176757,sea turtle,M
Malaclemys_terrapin_MCZ182815,brackish,S
Mauremys_caspica_MCZ_33570,freshwater,S
Melanochelys_trijuga_MCZ_13193,freshwater,S
Nilssonia_hurum_MCZHERP_R-61475,softshell,S
Platysternon_megacephalum_MCZ_134397,fathead,S
Pseudemys_concinna_MCZ12764,freshwater,S
Sacalia_bealei_MCZ_182858,freshwater,S
Terrapene_carolina_MCZ56039,box turtle,T
Terrapene_coahuila_MCZ120335,box turtle,S
Terrapene_ornata_MCZ_134724,box turtle,T
Testudo_graeca_MCZ_R18161,tortoise,T
Trachemys_scripta_MCZ1687,freshwater,S
